"","run_accession","submission_accession","study_abstract","study_description"
"236","ERR209390","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"237","SRR3933366","SRA442324","ESRF shotgun metagenomics project",NA
"238","SRR3208461","SRA379175","Detrimental impacts of human activity on biodiversity and ecosystem health have been measured in a variety of ways, yet we are still in dire need of more directly informative signatures which can be used not only to follow broad trends, but to rapidly inform return on investments in mitigative efforts.We present data evaluating the suitability of genomic sequencing of California condor microbiomes to provide indicators of both condor and ecosystem health. Both 16S ribosomal DNA (rDNA) and shotgun metagenomic DNA sequences were acquired. Numerous species have been previously observed to be associated with birds and microbiomes. These species include opportunistic pathogens and their near-neighbors, probiotics, and environmental microbes. Detailed classification of shotgun DNA sequence data with the Sequedex analysis package provided both phylogenetic and functional profiles of all samples. Phylogenetic classification using reads from phylogenetic marker genes was consistent with (but more specific than) analysis based on 16S data. Classification of samples based on the profile of SEED subsystems indicated three distinct types of samples: fecal, mature cloacal, and immature cloacal. Statistical analysis of the determinants of sample classification indicated niche determinants in metabolism, short-chain fatty acid production, virulence, and stress response pathways. This analysis was further supported by the recovery of protein sequence of niche-specific proteins. Our work provides strong support of the hypothesis that metagenomic sequencing of condor microbiomes can inform us on diet, infections, toxicity, and several types of stress.",NA
"239","SRR1438072","SRA146236","C.diff FMT",NA
"240","SRR6659435","SRA654526",NA,NA
"241","SRR5115412","SRA504789",NA,NA
"242","SRR2992958","SRA319014","Metagenomic sequencing to identify and measure the abundances of microorganisms present in stool samples from athletes",NA
"243","SRR1197071","SRA146236","C.diff FMT",NA
"244","SRR1211639","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"245","SRR5665057","SRA573379","Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.",NA
